
================================================================================
ROARK ENCOUNTERS (Level Cap 16)
================================================================================
  1. luxio           Lv16 | spark                | Power 9945.00 | Acc 100
  8. blaziken        Lv70 | flare_blitz          | Power 24840.00 | Acc 100
  9. sceptile        Lv70 | leaf_storm           | Power 24570.00 | Acc 100
 10. luxray          Lv70 | crunch               | Power 24300.00 | Acc 100
 11. crawdaunt       Lv70 | night_slash          | Power 23040.00 | Acc 100
 12. sceptile        Lv70 | solar_beam           | Power 22680.00 | Acc 100
 13. venusaur        Lv70 | solar_beam           | Power 22680.00 | Acc 100
 14. venusaur        Lv70 | petal_dance          | Power 22680.00 | Acc 100
 15. infernape       Lv70 | close_combat         | Power 22464.00 | Acc 100
 16. infernape       Lv70 | flare_blitz          | Power 22464.00 | Acc 100
 17. tyranitar       Lv70 | crunch               | Power 21708.00 | Acc 100
 18. luxray          Lv70 | night_slash          | Power 21600.00 | Acc 100
 19. absol           Lv70 | x_scissor            | Power 21060.00 | Acc 100
 20. shiftry         Lv70 | leaf_storm           | Power 21060.00 | Acc 100
 21. empoleon        Lv70 | hydro_pump           | Power 20700.00 | Acc  85
 22. typhlosion      Lv70 | fire_blast           | Power 20700.00 | Acc  85
 23. meganium        Lv70 | petal_dance          | Power 20520.00 | Acc 100
 24. meganium        Lv70 | solar_beam           | Power 20520.00 | Acc 100
 25. weavile         Lv70 | icicle_spear         | Power 20250.00 | Acc 100
 26. tyranitar       Lv70 | stone_edge           | Power 20100.00 | Acc  85
 27. charizard       Lv70 | fire_blast           | Power 19800.00 | Acc  85
 28. houndoom        Lv70 | fire_blast           | Power 19800.00 | Acc  85
 29. swampert        Lv70 | earthquake           | Power 19800.00 | Acc 100
 30. swampert        Lv70 | giga_impact          | Power 19800.00 | Acc 100
 31. torterra        Lv70 | earthquake           | Power 19800.00 | Acc 100
 32. cacturne        Lv70 | energy_ball          | Power 19665.00 | Acc 100
 33. sharpedo        Lv70 | bite                 | Power 19440.00 | Acc 100
 34. weavile         Lv70 | faint_attack         | Power 19440.00 | Acc   0
 35. tyranitar       Lv70 | thrash               | Power 19296.00 | Acc 100
 36. luxray          Lv70 | thunder_fang         | Power 18900.00 | Acc 100
 37. charizard       Lv70 | flamethrower         | Power 18810.00 | Acc 100
 38. houndoom        Lv70 | flamethrower         | Power 18810.00 | Acc 100
 39. absol           Lv70 | sucker_punch         | Power 18720.00 | Acc 100
 40. empoleon        Lv70 | flash_cannon         | Power 18630.00 | Acc 100
 41. huntail         Lv70 | crunch               | Power 18630.00 | Acc 100
 42. honchkrow       Lv70 | sucker_punch         | Power 18000.00 | Acc 100
 43. honchkrow       Lv70 | drill_peck           | Power 18000.00 | Acc 100
 44. honchkrow       Lv70 | night_slash          | Power 18000.00 | Acc 100
 45. infernape       Lv70 | fire_punch           | Power 17971.20 | Acc 100
 46. sceptile        Lv70 | energy_ball          | Power 17955.00 | Acc 100
 47. venusaur        Lv70 | sludge_bomb          | Power 17955.00 | Acc 100
 48. blaziken        Lv70 | blaze_kick           | Power 17595.00 | Acc 100
 49. blaziken        Lv70 | sky_uppercut         | Power 17595.00 | Acc 100
 50. sharpedo        Lv70 | skull_bash           | Power 17280.00 | Acc 100
 51. weavile         Lv70 | night_slash          | Power 17280.00 | Acc 100
 52. cacturne        Lv70 | pin_missile          | Power 17250.00 | Acc 100
 53. blastoise       Lv70 | hydro_pump           | Power 17100.00 | Acc  85
 54. feraligatr      Lv70 | bite                 | Power 17010.00 | Acc 100
 55. empoleon        Lv70 | bubble_beam          | Power 16560.00 | Acc 100
 56. huntail         Lv70 | dive                 | Power 16560.00 | Acc 100
 57. huntail         Lv70 | sucker_punch         | Power 16560.00 | Acc 100
 58. typhlosion      Lv70 | lava_plume           | Power 16560.00 | Acc 100
 59. meganium        Lv70 | energy_ball          | Power 16245.00 | Acc 100
 60. mightyena       Lv70 | crunch               | Power 16200.00 | Acc 100
 61. shiftry         Lv70 | leaf_blade           | Power 16200.00 | Acc 100
 62. charizard       Lv70 | air_slash            | Power 15840.00 | Acc 100
 63. houndoom        Lv70 | dark_pulse           | Power 15840.00 | Acc 100
 64. swampert        Lv70 | avalanche            | Power 15840.00 | Acc 100
 65. torterra        Lv70 | seed_bomb            | Power 15840.00 | Acc 100
 66. torterra        Lv70 | double_edge          | Power 15840.00 | Acc 100
 67. blastoise       Lv70 | water_pulse          | Power 15390.00 | Acc 100
 68. blastoise       Lv70 | aura_sphere          | Power 15390.00 | Acc   0
 69. drapion         Lv70 | crunch               | Power 15390.00 | Acc 100
 70. dusknoir        Lv70 | shadow_punch         | Power 15120.00 | Acc   0
 71. feraligatr      Lv70 | thrash               | Power 15120.00 | Acc 100
 72. mightyena       Lv70 | sucker_punch         | Power 14400.00 | Acc 100
 73. shiftry         Lv70 | night_slash          | Power 14400.00 | Acc 100
 74. drapion         Lv70 | night_slash          | Power 13680.00 | Acc 100
 75. drapion         Lv70 | poison_fang          | Power 11970.00 | Acc 100
 76. dusknoir        Lv70 | fire_punch           | Power 11520.00 | Acc 100
 77. dusknoir        Lv70 | ice_punch            | Power 11520.00 | Acc 100
 78. mightyena       Lv70 | bite                 | Power 10800.00 | Acc 100
 79. umbreon         Lv70 | last_resort          | Power 10140.00 | Acc 100
 80. umbreon         Lv70 | dark_pulse           | Power 8640.00 | Acc 100
 81. umbreon         Lv70 | dream_eater          | Power 7200.00 | Acc 100

================================================================================
E4 ENCOUNTERS (Level Cap 80)
================================================================================
  1. luxray          Lv80 | volt_tackle          | Power 32400.00 | Acc 100
  2. honchkrow       Lv80 | sky_attack           | Power 31500.00 | Acc 100
  3. typhlosion      Lv80 | eruption             | Power 31050.00 | Acc 100
  4. sharpedo        Lv80 | crunch               | Power 29160.00 | Acc 100
  5. crawdaunt       Lv80 | crabhammer           | Power 28800.00 | Acc 100
  6. absol           Lv80 | night_slash          | Power 28080.00 | Acc 100
  7. crawdaunt       Lv80 | crunch               | Power 25920.00 | Acc 100
  8. cacturne        Lv80 | bullet_seed          | Power 25875.00 | Acc 100
  9. feraligatr      Lv80 | crunch               | Power 25515.00 | Acc 100
 10. blaziken        Lv80 | flare_blitz          | Power 24840.00 | Acc 100
 11. sceptile        Lv80 | leaf_storm           | Power 24570.00 | Acc 100
 12. luxray          Lv80 | crunch               | Power 24300.00 | Acc 100
 13. crawdaunt       Lv80 | night_slash          | Power 23040.00 | Acc 100
 14. sceptile        Lv80 | solar_beam           | Power 22680.00 | Acc 100
 15. venusaur        Lv80 | solar_beam           | Power 22680.00 | Acc 100
 16. venusaur        Lv80 | petal_dance          | Power 22680.00 | Acc 100
 17. infernape       Lv80 | close_combat         | Power 22464.00 | Acc 100
 18. infernape       Lv80 | flare_blitz          | Power 22464.00 | Acc 100
 19. tyranitar       Lv80 | crunch               | Power 21708.00 | Acc 100
 20. luxray          Lv80 | night_slash          | Power 21600.00 | Acc 100
 21. absol           Lv80 | x_scissor            | Power 21060.00 | Acc 100
 22. shiftry         Lv80 | leaf_storm           | Power 21060.00 | Acc 100
 23. empoleon        Lv80 | hydro_pump           | Power 20700.00 | Acc  85
 24. typhlosion      Lv80 | fire_blast           | Power 20700.00 | Acc  85
 25. meganium        Lv80 | petal_dance          | Power 20520.00 | Acc 100
 26. meganium        Lv80 | solar_beam           | Power 20520.00 | Acc 100
 27. weavile         Lv80 | icicle_spear         | Power 20250.00 | Acc 100
 28. tyranitar       Lv80 | stone_edge           | Power 20100.00 | Acc  85
 29. charizard       Lv80 | fire_blast           | Power 19800.00 | Acc  85
 30. houndoom        Lv80 | fire_blast           | Power 19800.00 | Acc  85
 31. swampert        Lv80 | earthquake           | Power 19800.00 | Acc 100
 32. swampert        Lv80 | giga_impact          | Power 19800.00 | Acc 100
 33. torterra        Lv80 | earthquake           | Power 19800.00 | Acc 100
 34. cacturne        Lv80 | energy_ball          | Power 19665.00 | Acc 100
 35. sharpedo        Lv80 | bite                 | Power 19440.00 | Acc 100
 36. weavile         Lv80 | faint_attack         | Power 19440.00 | Acc   0
 37. tyranitar       Lv80 | thrash               | Power 19296.00 | Acc 100
 38. luxray          Lv80 | thunder_fang         | Power 18900.00 | Acc 100
 39. charizard       Lv80 | flamethrower         | Power 18810.00 | Acc 100
 40. houndoom        Lv80 | flamethrower         | Power 18810.00 | Acc 100
 41. absol           Lv80 | sucker_punch         | Power 18720.00 | Acc 100
 42. absol           Lv80 | close_combat         | Power 18720.00 | Acc 100
 43. crawdaunt       Lv80 | knock_off            | Power 18720.00 | Acc 100
 44. empoleon        Lv80 | flash_cannon         | Power 18630.00 | Acc 100
 45. huntail         Lv80 | crunch               | Power 18630.00 | Acc 100
 46. tyranitar       Lv80 | rock_slide           | Power 18090.00 | Acc 100
 47. honchkrow       Lv80 | sucker_punch         | Power 18000.00 | Acc 100
 48. honchkrow       Lv80 | drill_peck           | Power 18000.00 | Acc 100
 49. honchkrow       Lv80 | night_slash          | Power 18000.00 | Acc 100
 50. infernape       Lv80 | fire_punch           | Power 17971.20 | Acc 100
 51. sceptile        Lv80 | energy_ball          | Power 17955.00 | Acc 100
 52. venusaur        Lv80 | sludge_bomb          | Power 17955.00 | Acc 100
 53. venusaur        Lv80 | energy_ball          | Power 17955.00 | Acc 100
 54. blaziken        Lv80 | blaze_kick           | Power 17595.00 | Acc 100
 55. blaziken        Lv80 | sky_uppercut         | Power 17595.00 | Acc 100
 56. sharpedo        Lv80 | skull_bash           | Power 17280.00 | Acc 100
 57. sharpedo        Lv80 | thrash               | Power 17280.00 | Acc 100
 58. weavile         Lv80 | night_slash          | Power 17280.00 | Acc 100
 59. weavile         Lv80 | double_hit           | Power 17280.00 | Acc 100
 60. cacturne        Lv80 | pin_missile          | Power 17250.00 | Acc 100
 61. blastoise       Lv80 | hydro_pump           | Power 17100.00 | Acc  85
 62. feraligatr      Lv80 | bite                 | Power 17010.00 | Acc 100
 63. sceptile        Lv80 | dragon_pulse         | Power 17010.00 | Acc 100
 64. blaziken        Lv80 | double_kick          | Power 16560.00 | Acc 100
 65. cacturne        Lv80 | needle_arm           | Power 16560.00 | Acc 100
 66. empoleon        Lv80 | bubble_beam          | Power 16560.00 | Acc 100
 67. huntail         Lv80 | dive                 | Power 16560.00 | Acc 100
 68. huntail         Lv80 | sucker_punch         | Power 16560.00 | Acc 100
 69. typhlosion      Lv80 | lava_plume           | Power 16560.00 | Acc 100
 70. charizard       Lv80 | hyper_beam           | Power 16500.00 | Acc  95
 71. meganium        Lv80 | energy_ball          | Power 16245.00 | Acc 100
 72. mightyena       Lv80 | crunch               | Power 16200.00 | Acc 100
 73. shiftry         Lv80 | leaf_blade           | Power 16200.00 | Acc 100
 74. charizard       Lv80 | air_slash            | Power 15840.00 | Acc 100
 75. houndoom        Lv80 | dark_pulse           | Power 15840.00 | Acc 100
 76. swampert        Lv80 | avalanche            | Power 15840.00 | Acc 100
 77. torterra        Lv80 | seed_bomb            | Power 15840.00 | Acc 100
 78. torterra        Lv80 | double_edge          | Power 15840.00 | Acc 100
 79. torterra        Lv80 | superpower           | Power 15840.00 | Acc 100
 80. huntail         Lv80 | aqua_tail            | Power 15525.00 | Acc  95
 81. blastoise       Lv80 | water_pulse          | Power 15390.00 | Acc 100
 82. blastoise       Lv80 | aura_sphere          | Power 15390.00 | Acc   0
 83. drapion         Lv80 | crunch               | Power 15390.00 | Acc 100
 84. dusknoir        Lv80 | shadow_punch         | Power 15120.00 | Acc   0
 85. feraligatr      Lv80 | thrash               | Power 15120.00 | Acc 100
 86. feraligatr      Lv80 | superpower           | Power 15120.00 | Acc 100
 87. infernape       Lv80 | double_kick          | Power 14976.00 | Acc 100
 88. swampert        Lv80 | aqua_tail            | Power 14850.00 | Acc  95
 89. houndoom        Lv80 | crunch               | Power 14580.00 | Acc 100
 90. mightyena       Lv80 | sucker_punch         | Power 14400.00 | Acc 100
 91. shiftry         Lv80 | night_slash          | Power 14400.00 | Acc 100
 92. shiftry         Lv80 | sucker_punch         | Power 14400.00 | Acc 100
 93. drapion         Lv80 | night_slash          | Power 13680.00 | Acc 100
 94. meganium        Lv80 | dazzling_gleam       | Power 13680.00 | Acc 100
 95. empoleon        Lv80 | brine                | Power 13455.00 | Acc 100
 96. drapion         Lv80 | poison_fang          | Power 11970.00 | Acc 100
 97. drapion         Lv80 | cross_poison         | Power 11970.00 | Acc 100
 98. blastoise       Lv80 | skull_bash           | Power 11520.00 | Acc 100
 99. dusknoir        Lv80 | fire_punch           | Power 11520.00 | Acc 100
100. dusknoir        Lv80 | ice_punch            | Power 11520.00 | Acc 100
101. dusknoir        Lv80 | thunder_punch        | Power 11520.00 | Acc 100
102. mightyena       Lv80 | bite                 | Power 10800.00 | Acc 100
103. mightyena       Lv80 | assurance            | Power 10800.00 | Acc 100
104. umbreon         Lv80 | last_resort          | Power 10140.00 | Acc 100
105. umbreon         Lv80 | dark_pulse           | Power 8640.00 | Acc 100
106. umbreon         Lv80 | dream_eater          | Power 7200.00 | Acc 100
107. umbreon         Lv80 | bite                 | Power 7020.00 | Acc 100
