name,type1,type2,ability1,ability2,hp,attack,defense,special_attack,special_defense,speed
rapidash,Fire,Fire,SPEED_BOOST,RECKLESS,65,100,70,80,80,105
raticate,Normal,Normal,HUSTLE,STRONG_JAW,55,81,60,50,70,97
rattata,Normal,Normal,HUSTLE,STRONG_JAW,30,56,35,25,35,72
rayquaza,Dragon,Flying,AIR_LOCK,NONE,105,150,90,150,90,95
regice,Ice,Ice,ICE_BODY,NONE,80,50,100,100,200,50
regigigas,Normal,Normal,SLOW_START,NONE,110,160,110,80,110,100
regirock,Rock,Rock,STURDY,NONE,80,100,200,50,100,50
registeel,Steel,Steel,CLEAR_BODY,NONE,80,75,150,75,150,50
relicanth,Water,Rock,ROCK_HEAD,NONE,100,90,130,45,65,55
remoraid,Water,Water,HUSTLE,SNIPER,35,65,35,65,35,65
rhydon,Ground,Rock,SOLID_ROCK,ROCK_HEAD,105,130,120,45,45,40
rhyhorn,Ground,Rock,SOLID_ROCK,ROCK_HEAD,80,85,95,30,30,25
rhyperior,Ground,Rock,SOLID_ROCK,ROCK_HEAD,115,140,130,55,55,40
riolu,Fighting,Fighting,ADAPTABILITY,NONE,40,70,40,35,40,60
roselia,Grass,Poison,NATURAL_CURE,POISON_POINT,50,60,45,100,80,65
roserade,Grass,Poison,NATURAL_CURE,POISON_POINT,60,70,55,125,105,90
rotom,Electric,Ghost,LEVITATE,NONE,50,50,77,95,77,91
sableye,Dark,Ghost,MAGIC_GUARD,NONE,70,90,75,65,65,50
salamence,Dragon,Flying,INTIMIDATE,NONE,95,135,80,110,80,100
sandshrew,Ground,Ground,SAND_VEIL,ROUGH_SKIN,50,75,85,20,30,40
sandslash,Ground,Ground,SHARPNESS,ROUGH_SKIN,80,100,110,45,80,85
sceptile,Grass,Dragon,UNBURDEN,NONE,80,105,65,80,85,120
scizor,Bug,Steel,TECHNICIAN,NONE,70,130,100,55,80,65
scyther,Bug,Flying,TECHNICIAN,SHARPNESS,70,110,80,55,80,105
seadra,Water,Water,SNIPER,NONE,55,65,95,95,45,85
seaking,Water,Water,VITAL_SPIRIT,WATER_VEIL,80,100,65,65,80,80
sealeo,Ice,Water,THICK_FAT,ICE_BODY,90,60,70,75,70,45
seedot,Grass,Grass,CHLOROPHYLL,EARLY_BIRD,40,40,50,30,30,30
seel,Water,Water,ICE_BODY,RAIN_DISH,65,45,55,45,70,45
sentret,Normal,Normal,RUN_AWAY,KEEN_EYE,35,46,34,35,45,20
seviper,Poison,Poison,SHED_SKIN,NONE,73,100,60,100,60,65
sharpedo,Water,Dark,STRONG_JAW,SPEED_BOOST,70,120,60,95,60,95
shaymin,Grass,Grass,NATURAL_CURE,NONE,100,100,100,100,100,100
shedinja,Bug,Ghost,WONDER_GUARD,NONE,1,90,45,30,30,40
shelgon,Dragon,Dragon,ROCK_HEAD,NONE,65,95,100,60,50,50
shellder,Water,Water,SHELL_ARMOR,SKILL_LINK,30,65,100,45,25,40
shellos,Water,Water,STICKY_HOLD,STORM_DRAIN,76,48,48,57,62,34
shieldon,Rock,Steel,STURDY,SOUNDPROOF,30,42,118,42,88,30
shiftry,Grass,Dark,CHLOROPHYLL,EARLY_BIRD,90,100,60,90,60,80
shinx,Electric,Electric,RIVALRY,VITAL_SPIRIT,45,65,34,40,34,45
shroomish,Grass,Grass,EFFECT_SPORE,POISON_HEAL,60,40,60,40,60,35
shuckle,Bug,Rock,STURDY,GLUTTONY,20,10,230,10,230,5
shuppet,Normal,Ghost,INSOMNIA,OBLIVIOUS,44,75,35,63,33,45
silcoon,Bug,Bug,SHED_SKIN,NONE,50,35,55,25,25,15
skarmory,Steel,Flying,KEEN_EYE,STURDY,65,80,140,40,70,70
skiploom,Grass,Flying,UNBURDEN,NONE,65,45,50,70,65,95
skitty,Normal,Normal,CUTE_CHARM,NORMALIZE,50,45,45,35,35,50
skorupi,Poison,Bug,BATTLE_ARMOR,SNIPER,40,50,90,30,55,65
skuntank,Poison,Dark,STENCH,AFTERMATH,120,100,70,75,65,85
slaking,Normal,Normal,TRUANT,NONE,150,160,100,95,65,100
slakoth,Normal,Normal,TRUANT,NONE,60,60,60,35,35,30
slowbro,Water,Psychic,SHELL_ARMOR,SHELL_ARMOR,95,85,110,100,80,30
slowking,Water,Psychic,OBLIVIOUS,OWN_TEMPO,95,75,80,110,110,30
slowpoke,Water,Psychic,OBLIVIOUS,OWN_TEMPO,90,65,65,40,40,15
slugma,Fire,Fire,FLAME_BODY,FLAME_BODY,40,40,40,70,40,20
smeargle,Normal,Normal,TECHNICIAN,NONE,55,20,35,20,45,75
smoochum,Ice,Psychic,TRACE,OBLIVIOUS,45,30,15,85,65,65
sneasel,Dark,Ice,TECHNICIAN,NONE,55,95,55,35,75,115
snorlax,Normal,Normal,THICK_FAT,NONE,160,110,65,65,110,30
snorunt,Ice,Ice,INNER_FOCUS,ICE_BODY,50,50,50,50,50,50
snover,Grass,Ice,SNOW_WARNING,NONE,60,62,50,62,60,40
snubbull,Fairy,Fairy,INTIMIDATE,STRONG_JAW,60,80,50,40,40,30
solrock,Rock,Psychic,LEVITATE,NONE,90,95,85,55,65,70
spearow,Normal,Flying,KEEN_EYE,NONE,40,60,30,31,31,70
spheal,Ice,Water,THICK_FAT,ICE_BODY,70,40,50,55,50,25
spinarak,Bug,Poison,SWARM,INSOMNIA,40,60,40,40,40,30
spinda,Normal,Normal,OWN_TEMPO,TANGLED_FEET,60,60,60,60,60,60
spiritomb,Ghost,Dark,PRESSURE,NONE,55,95,110,95,110,35
spoink,Psychic,Psychic,THICK_FAT,OWN_TEMPO,60,25,35,70,80,60
squirtle,Water,Water,TORRENT,NONE,44,48,65,50,64,43
stantler,Normal,Psychic,INTIMIDATE,NONE,75,95,65,85,65,95
staraptor,Normal,Flying,INTIMIDATE,RECKLESS,85,120,70,50,60,100
staravia,Normal,Flying,INTIMIDATE,RECKLESS,55,75,50,40,40,80
starly,Normal,Flying,KEEN_EYE,RECKLESS,40,55,30,30,30,60
starmie,Water,Psychic,NATURAL_CURE,NONE,60,90,85,100,85,120
staryu,Water,Water,NATURAL_CURE,NONE,30,45,55,70,55,85
steelix,Steel,Ground,ROCK_HEAD,STURDY,75,90,200,55,65,30
stunky,Poison,Dark,STENCH,AFTERMATH,63,63,47,41,41,74
sudowoodo,Rock,Rock,STURDY,SKILL_LINK,70,110,130,50,80,30
suicune,Water,Water,WATER_ABSORB,NONE,100,75,115,90,115,85
sunflora,Grass,Grass,CHLOROPHYLL,SOLAR_POWER,75,75,55,105,85,30
sunkern,Grass,Grass,CHLOROPHYLL,SOLAR_POWER,30,30,30,30,30,30
surskit,Bug,Water,SWIFT_SWIM,NONE,40,30,32,50,52,65
swablu,Fairy,Flying,NATURAL_CURE,NONE,45,40,60,40,75,50
swalot,Poison,Poison,LIQUID_OOZE,STICKY_HOLD,100,73,83,73,83,55
swampert,Water,Ground,TORRENT,NONE,100,110,90,85,90,60
swellow,Normal,Flying,GUTS,NONE,60,95,60,50,50,125
swinub,Ice,Ground,THICK_FAT,MOLD_BREAKER,50,50,40,30,30,50
taillow,Normal,Flying,GUTS,NONE,40,55,30,30,30,85
tangela,Grass,Grass,OVERGROW,NONE,65,55,115,100,40,60
tangrowth,Grass,Grass,THICK_FAT,NONE,100,100,125,110,50,50
tauros,Normal,Normal,INTIMIDATE,RECKLESS,80,110,100,40,70,110
teddiursa,Normal,Normal,TANGLED_FEET,QUICK_FEET,60,80,50,50,50,40
tentacool,Water,Poison,CLEAR_BODY,LIQUID_OOZE,40,40,35,50,100,70
tentacruel,Water,Poison,CLEAR_BODY,LIQUID_OOZE,80,70,65,80,120,100
togekiss,Fairy,Flying,SUPER_LUCK,SERENE_GRACE,85,50,95,120,115,80
togepi,Fairy,Fairy,SERENE_GRACE,NONE,35,20,65,40,65,20
togetic,Fairy,Flying,SERENE_GRACE,NONE,55,40,85,80,105,40
torchic,Fire,Fire,BLAZE,NONE,45,60,40,70,50,45
torkoal,Fire,Fire,DROUGHT,SHELL_ARMOR,70,85,140,95,70,20
torterra,Grass,Ground,SHELL_ARMOR,NONE,95,110,110,75,85,60
totodile,Water,Water,TORRENT,STRONG_JAW,50,65,64,44,48,43
toxicroak,Poison,Fighting,DRY_SKIN,NONE,83,106,65,86,65,85
trapinch,Ground,Ground,ADAPTABILITY,ARENA_TRAP,45,100,45,45,45,10
treecko,Grass,Grass,OVERGROW,NONE,40,45,35,65,55,70
tropius,Grass,Flying,CHLOROPHYLL,SOLAR_POWER,100,70,85,110,90,85
turtwig,Grass,Grass,SHELL_ARMOR,NONE,55,68,64,45,55,31
typhlosion,Fire,Fire,ADAPTABILITY,NONE,78,84,78,110,85,100
tyranitar,Rock,Dark,SAND_STREAM,NONE,100,134,110,95,100,61
tyrogue,Fighting,Fighting,GUTS,NONE,35,35,35,35,35,35
umbreon,Dark,Dark,SYNCHRONIZE,SYNCHRONIZE,95,65,110,60,130,65
unown,Psychic,Psychic,LEVITATE,NONE,48,72,48,72,48,48
ursaring,Normal,Normal,GUTS,QUICK_FEET,90,130,75,75,75,55
uxie,Psychic,Psychic,LEVITATE,NONE,75,75,130,75,130,95
vaporeon,Water,Water,HYDRATION,HYDRATION,130,65,60,110,95,65
venomoth,Bug,Poison,SHIELD_DUST,TINTED_LENS,70,65,60,90,75,90
venonat,Bug,Poison,COMPOUND_EYES,TINTED_LENS,60,55,50,40,55,45
venusaur,Grass,Poison,THICK_FAT,NONE,80,80,90,105,100,80
vespiquen,Bug,Flying,INTIMIDATE,NONE,80,80,102,80,102,40
vibrava,Ground,Dragon,LEVITATE,LEVITATE,50,70,50,50,50,70
victreebel,Grass,Poison,OVERGROW,GLUTTONY,80,110,75,100,70,70
vigoroth,Normal,Normal,VITAL_SPIRIT,NONE,80,80,80,55,55,90
vileplume,Grass,Poison,SHIELD_DUST,EFFECT_SPORE,75,80,85,100,90,50
volbeat,Bug,Bug,LEVITATE,SWARM,65,90,55,50,75,85
voltorb,Electric,Electric,SOUNDPROOF,STATIC,40,30,50,55,55,100
vulpix,Fire,Ghost,FLASH_FIRE,NONE,38,41,40,50,65,65
wailmer,Water,Water,PRESSURE,OBLIVIOUS,130,70,35,70,35,60
wailord,Water,Water,PRESSURE,OBLIVIOUS,170,90,50,90,50,60
walrein,Ice,Water,THICK_FAT,ICE_BODY,110,80,90,95,90,65
wartortle,Water,Water,TORRENT,NONE,59,63,80,65,80,58
weavile,Dark,Ice,TECHNICIAN,NONE,70,120,65,45,85,125
weedle,Bug,Poison,POISON_POINT,NONE,40,35,30,20,20,50
weepinbell,Grass,Poison,OVERGROW,GLUTTONY,65,90,50,85,45,55
weezing,Poison,Poison,LEVITATE,NONE,65,90,120,85,70,60
whiscash,Water,Ground,OBLIVIOUS,OWN_TEMPO,110,80,80,80,80,60
whismur,Normal,Normal,SOUNDPROOF,NONE,64,51,23,51,23,28
wigglytuff,Normal,Fairy,CUTE_CHARM,NONE,160,70,45,85,50,45
wingull,Water,Flying,DRIZZLE,NONE,40,30,30,55,30,85
wobbuffet,Psychic,Psychic,SHADOW_TAG,NONE,190,33,58,33,58,33
wooper,Water,Ground,DAMP,WATER_ABSORB,55,45,45,25,25,15
wormadam,Bug,Grass,MAGIC_GUARD,FILTER,60,55,85,90,105,30
wurmple,Bug,Bug,SHIELD_DUST,NONE,45,45,35,20,30,20
wynaut,Psychic,Psychic,SHADOW_TAG,NONE,95,23,48,23,48,23
xatu,Psychic,Flying,SYNCHRONIZE,EARLY_BIRD,65,75,70,95,70,95
yanma,Bug,Flying,SPEED_BOOST,COMPOUND_EYES,65,65,45,75,45,95
yanmega,Bug,Flying,SPEED_BOOST,TINTED_LENS,86,76,86,116,56,95
zangoose,Normal,Normal,SHARPNESS,SKILL_LINK,73,115,60,60,60,90
zapdos,Electric,Flying,LIGHTNING_ROD,NONE,90,90,85,125,90,100
zigzagoon,Normal,Normal,QUICK_FEET,GLUTTONY,38,30,41,30,41,60
zubat,Poison,Flying,INNER_FOCUS,NONE,40,45,35,30,40,55
